region	quarter	orders	revenue_eur	returns	conversion
Berlin	2026-Q1	6505	469161.11	111	3.8%
Berlin	2026-Q2	2386	161212.18	34	2.9%
Hamburg	2026-Q1	2150	152111.09	64	1.9%
Hamburg	2026-Q2	8304	440562.06	71	2.1%
München	2026-Q1	8155	327243.66	41	4.7%
München	2026-Q2	2213	130070.64	111	2.0%
Köln	2026-Q1	4822	191322.38	44	2.7%
Köln	2026-Q2	3563	204746.70	88	3.5%
Frankfurt	2026-Q1	4161	173555.33	58	3.0%
Frankfurt	2026-Q2	2228	129930.85	62	3.3%
Stuttgart	2026-Q1	8205	541367.84	129	3.6%
Stuttgart	2026-Q2	8624	439970.30	73	4.3%
Düsseldorf	2026-Q1	5199	212882.31	86	3.4%
Düsseldorf	2026-Q2	6827	438703.23	83	3.7%
Leipzig	2026-Q1	2399	101358.63	117	2.3%
Leipzig	2026-Q2	6804	295779.70	135	3.1%
Dresden	2026-Q1	2471	161911.17	90	2.9%
Dresden	2026-Q2	6937	412039.18	126	2.0%
Hannover	2026-Q1	2733	196799.28	131	4.0%
Hannover	2026-Q2	2264	90976.80	89	3.8%
